modelo_id,fold,mae,r2
37,3,0.9525784727693054,-0.008719450033891407
37,4,0.9534827657169196,0.02410979884129716
37,5,0.9002791792488194,-0.05280631206417574
38,1,0.8395191152630296,-0.04388415344286778
38,2,0.9324531927579196,0.0121197256140827
38,3,0.9525612559141811,-0.009121800481574516
38,4,0.9565245629882145,0.01909676850124975
38,5,0.9005229524406942,-0.05289747705690795
39,1,0.8430522542496989,-0.031336227316933085
39,2,0.9305154125468856,-0.014113337216189015
39,3,0.9396742191178172,-0.016351566797908834
39,4,0.9514704969414184,0.03114607819903137
39,5,0.8771913549399701,0.025906097050353516
40,1,0.8487862290529804,-0.037177301714207855
40,2,0.9341506040398079,-0.03157820349290463
40,3,0.9393041588114621,-0.015529524724993582
40,4,0.9563725826627454,0.006585445147599733
40,5,0.8765140221613895,0.02695859017102975
41,1,0.8441764587784439,0.004817646100831019
41,2,0.9224479050879341,0.020495139081190494
41,3,0.9211638305503228,7.138791659189181e-05
41,4,0.95625985389519,0.03342182745886457
41,5,0.8785338492862803,0.03595546589065435
42,1,0.8470603957210766,-0.0027401614718831624
42,2,0.9229265991533334,0.020071678539390625
42,3,0.9211753989840162,0.0001095387936923542
42,4,0.9568237047144028,0.033141263178168456
42,5,0.878726403385188,0.03537222556176167
43,1,0.8562729169852318,-0.026633622915648747
43,2,0.924114148631235,0.040763083815895884
43,3,0.9642897400463661,-0.033991978986994464
43,4,0.9627579342970981,0.008160219968176619
43,5,0.876119512276265,0.03268944535906526
44,1,0.8472607865465428,-0.03758634732738453
44,2,0.9240392204641349,0.05281135194122666
44,3,0.9632129653948541,-0.033861161917922544
44,4,0.9790777947970792,-0.01583619680567261
44,5,0.8717432816600045,0.04622223757560262
45,1,0.8379686718749497,-0.012359121316060317
45,2,0.9355880895517331,0.009426530824496737
45,3,0.9642193794126871,-0.041298200907644356
45,4,0.9539107163907311,0.016199840041749014
45,5,0.879885323432148,0.005240809851442929
46,1,0.8343151943789221,-0.006600387604416724
46,2,0.9350797936154261,0.012417495434154824
