ranking_mae,modelo_id,variables,interacciones,n_variables,n_interacciones,n_terminos,mae_promedio,mae_desvio,r2_promedio,r2_desvio,delta_mae_vs_base,delta_r2_vs_base,folds_mejora_mae_vs_base
15419,30285,fage + mage + visits + gained + sex_bin + marital_bin + whitemom_bin + mature_bin,fage × mage + sex_bin × whitemom_bin,8,2,10,0.904485018442682,0.03446680773242415,0.01850996203165829,0.048871417755908614,0.004561732949311281,-0.014097430514488949,2
15420,7149,fage + sex_bin + habit_bin + marital_bin + mature_bin,fage × sex_bin + fage × marital_bin,5,2,7,0.904485318019414,0.03829208573108051,0.023076843243286384,0.036863230401048386,0.004562032526043258,-0.009530549302860854,2
15421,6091,fage + visits + sex_bin + habit_bin + mature_bin,fage × visits + sex_bin × mature_bin,5,2,7,0.9044858709069867,0.043025998263827296,0.020423197172868668,0.05328722217884837,0.004562585413615983,-0.01218419537327857,2
15422,29995,fage + mage + visits + gained + sex_bin + habit_bin + whitemom_bin + mature_bin,fage × whitemom_bin + gained × whitemom_bin,8,2,10,0.9044862452032157,0.03367155474879241,0.03107541098589599,0.052182572876652525,0.004562959709844994,-0.0015319815602512464,3
15423,12950,fage + mage + gained + sex_bin + habit_bin + marital_bin,fage × gained + mage × gained,6,2,8,0.9044871240992244,0.03097261736760702,0.014382552623325506,0.04599391082359819,0.004563838605853632,-0.018224839922821732,2
15424,21262,fage + mage + visits + gained + sex_bin + habit_bin + mature_bin,mage × visits + gained × mature_bin,7,2,9,0.9044881920145205,0.026076586420614098,0.016314641239017647,0.06999911475040356,0.004564906521149714,-0.01629275130712959,2
15425,22012,fage + mage + visits + gained + sex_bin + whitemom_bin + mature_bin,visits × gained + gained × whitemom_bin,7,2,9,0.9044894114577822,0.032582632736102596,0.011472414050278722,0.04314869891722618,0.004566125964411416,-0.021134978495868515,3
15426,3216,gained + sex_bin + marital_bin + mature_bin,gained × mature_bin + sex_bin × mature_bin,4,2,6,0.9044900802114867,0.02460514920614643,0.007646617927105259,0.056201116749836265,0.004566794718115941,-0.02496077461904198,2
15427,28514,mage + visits + sex_bin + habit_bin + marital_bin + whitemom_bin + mature_bin,sex_bin × marital_bin + sex_bin × mature_bin,7,2,9,0.9044903042240083,0.042661145126958296,0.031838474755059895,0.05720312077632352,0.004567018730637584,-0.0007689177910873424,1
15428,17374,mage + visits + gained + sex_bin + habit_bin + marital_bin,visits × marital_bin + gained × habit_bin,6,2,8,0.9044918289558346,0.03531336632211877,0.020815221457773325,0.04715769337270061,0.0045685434624638255,-0.011792171088373913,2
15429,9160,mage + sex_bin + habit_bin + whitemom_bin + mature_bin,sex_bin × mature_bin,5,1,6,0.9044928601542747,0.04030321992499776,0.031222024210211897,0.04962837664599068,0.004569574660903908,-0.00138536833593534,1
15430,9204,mage + sex_bin + habit_bin + whitemom_bin + mature_bin,sex_bin × mature_bin + habit_bin × mature_bin,5,2,7,0.9044928601542747,0.04030321992499776,0.031222024210211897,0.04962837664599068,0.004569574660903908,-0.00138536833593534,1
15431,10896,fage + mage + visits + gained + sex_bin + mature_bin,fage × visits + mage × mature_bin,6,2,8,0.9044929748369157,0.033393706445757364,0.013021303941788177,0.04442945397890315,0.004569689343544958,-0.01958608860435906,2
15432,21381,fage + mage + visits + gained + sex_bin + marital_bin + whitemom_bin,fage × mage + fage × sex_bin,7,2,9,0.9044938781952598,0.03918493344948996,0.021599712510900492,0.045450884939891835,0.004570592701889087,-0.011007680035246745,1
15433,7107,fage + sex_bin + habit_bin + marital_bin + whitemom_bin,fage × habit_bin + habit_bin × whitemom_bin,5,2,7,0.9044945209313058,0.04097443649455863,0.022677016648290093,0.032976348523766255,0.004571235437935028,-0.009930375897857145,3
15434,602,sex_bin + habit_bin + marital_bin,habit_bin × marital_bin,3,1,4,0.9044951225242535,0.04139796380866079,0.022343374115257376,0.03801658763044619,0.004571837030882708,-0.010264018430889862,2
15435,18762,mage + visits + sex_bin + habit_bin + whitemom_bin + mature_bin,mage × sex_bin + sex_bin × habit_bin,6,2,8,0.9044959708216613,0.03809533570966945,0.03401725561002862,0.04894974615194026,0.004572685328290582,0.0014098630638813836,1
15436,29625,fage + mage + visits + gained + sex_bin + habit_bin + marital_bin + mature_bin,mage × visits + visits × marital_bin,8,2,10,0.9044988446629756,0.03594638270342624,0.01535535642290493,0.05028469411310727,0.004575559169604837,-0.017252036123242307,3
15437,18564,mage + visits + sex_bin + habit_bin + marital_bin + whitemom_bin,visits × sex_bin + sex_bin × whitemom_bin,6,2,8,0.9044995960140373,0.03600893706502847,0.03330133386013454,0.04551649892841139,0.004576310520666538,0.0006939413139873049,1
15438,7997,mage + visits + sex_bin + habit_bin + whitemom_bin,mage × sex_bin + mage × habit_bin,5,2,7,0.9044998477256317,0.04188826707279702,0.03782745348235661,0.046701355644421995,0.0045765622322609945,0.0052200609362093725,1
15439,15839,fage + visits + gained + marital_bin + whitemom_bin + mature_bin,fage × visits + fage × whitemom_bin,6,2,8,0.9045002203722557,0.04501884103329096,0.012278519225054097,0.05192305254623071,0.004576934878884997,-0.020328873321093142,2
15440,18860,mage + visits + sex_bin + marital_bin + whitemom_bin + mature_bin,marital_bin × mature_bin,6,1,7,0.9045012576181144,0.04013501066862557,0.02224323364832086,0.04854135705484515,0.0045779721247436456,-0.010364158897826378,2
15441,9464,visits + gained + sex_bin + habit_bin + mature_bin,visits × habit_bin + gained × mature_bin,5,2,7,0.9045019647644519,0.034385559037881396,0.016966465172870725,0.07435306465668579,0.004578679271081132,-0.015640927373276513,2
15442,22021,fage + mage + visits + gained + sex_bin + whitemom_bin + mature_bin,visits × sex_bin + gained × mature_bin,7,2,9,0.9045024242185228,0.024562429157378215,0.014209612795477522,0.061661792929732166,0.004579138725152032,-0.018397779750669717,2
15443,23814,fage + mage + visits + sex_bin + marital_bin + whitemom_bin + mature_bin,mage × visits + sex_bin × mature_bin,7,2,9,0.9045027406058741,0.05055141181462131,0.021420901464682097,0.06664191308208837,0.00457945511250335,-0.01118649108146514,2
15444,13605,fage + mage + gained + sex_bin + whitemom_bin + mature_bin,mage × gained + sex_bin × mature_bin,6,2,8,0.9045028348352954,0.03554070702513385,0.011896145253646084,0.04430720202608164,0.004579549341924616,-0.020711247292501154,2
15445,18627,mage + visits + sex_bin + habit_bin + marital_bin + mature_bin,mage × visits + visits × mature_bin,6,2,8,0.9045035428674908,0.03897940794163256,0.02235649350240123,0.05243409793167058,0.004580257374120045,-0.010250899043746008,3
15446,13094,fage + mage + gained + sex_bin + habit_bin + whitemom_bin,fage × habit_bin + mage × gained,6,2,8,0.9045043744242196,0.03513696724937293,0.021859793255963655,0.03858761831240298,0.004581088930848853,-0.010747599290183582,2
15447,12085,fage + mage + visits + sex_bin + marital_bin + whitemom_bin,marital_bin × whitemom_bin,6,1,7,0.9045045741853833,0.042272558119393025,0.020903218419269298,0.05765732113834879,0.004581288692012575,-0.01170417412687794,2
15448,17630,mage + visits + gained + sex_bin + habit_bin + mature_bin,gained × mature_bin + sex_bin × habit_bin,6,2,8,0.9045055593741415,0.02375903207881424,0.013075241755338984,0.06701201464592105,0.004582273880770704,-0.019532150790808254,2
15449,4481,fage + mage + gained + sex_bin + mature_bin,fage × sex_bin + gained × sex_bin,5,2,7,0.9045066977599822,0.03463000453801794,0.010780274571841674,0.03671827100009174,0.0045834122666114085,-0.021827117974305563,2
15450,8747,mage + gained + sex_bin + marital_bin + mature_bin,gained × sex_bin + gained × mature_bin,5,2,7,0.9045080220837637,0.02259964830164364,0.005543732904465281,0.05807193727582335,0.004584736590392935,-0.027063659641681954,2
15451,232,fage + sex_bin + mature_bin,fage × sex_bin + fage × mature_bin,3,2,5,0.9045080804998206,0.045681558228292944,0.015477468406045757,0.02561978907354225,0.0045847950064498155,-0.01712992414010148,3
15452,31619,fage + mage + gained + sex_bin + habit_bin + marital_bin + whitemom_bin + mature_bin,fage × whitemom_bin + gained × whitemom_bin,8,2,10,0.9045091019998915,0.030681350120726043,0.029771150849536344,0.05204497895131898,0.00458581650652079,-0.0028362416966108937,2
15453,21544,fage + mage + visits + gained + sex_bin + marital_bin + whitemom_bin,visits × gained + visits × sex_bin,7,2,9,0.9045101564892761,0.032959580723230346,0.011643569442732638,0.04182809648587431,0.004586870995905379,-0.0209638231034146,3
15454,29496,fage + mage + visits + gained + sex_bin + habit_bin + marital_bin + mature_bin,fage × visits + sex_bin × habit_bin,8,2,10,0.9045113102257287,0.031126703072067732,0.01749578593227936,0.0537692943552158,0.004588024732357976,-0.015111606613867876,2
15455,31353,fage + mage + visits + sex_bin + habit_bin + marital_bin + whitemom_bin + mature_bin,visits × sex_bin + visits × mature_bin,8,2,10,0.9045115195889766,0.04150420784158594,0.03693971877788991,0.047447803544439705,0.004588234095605825,0.004332326231742671,1
15456,8031,mage + visits + sex_bin + habit_bin + whitemom_bin,sex_bin × habit_bin + habit_bin × whitemom_bin,5,2,7,0.9045126394635041,0.03683603366463887,0.02886027186277771,0.04639338695477473,0.004589353970133381,-0.0037471206833695272,1
15457,30559,fage + mage + visits + gained + sex_bin + marital_bin + whitemom_bin + mature_bin,visits × sex_bin + sex_bin × mature_bin,8,2,10,0.9045127938630098,0.0373412605510457,0.015176837573331192,0.05321006077299431,0.004589508369639006,-0.017430554972816044,2
15458,15251,fage + visits + gained + sex_bin + marital_bin + mature_bin,fage × gained + visits × marital_bin,6,2,8,0.9045130100478597,0.038520939627452414,0.015249605017894385,0.0320259011321963,0.0045897245544889165,-0.01735778752825285,3
15459,29863,fage + mage + visits + gained + sex_bin + habit_bin + whitemom_bin + mature_bin,fage × mage + mage × gained,8,2,10,0.9045130421709144,0.032705522724738305,0.023414227703644496,0.046582249245085625,0.004589756677543688,-0.009193164842502741,2
15460,24221,fage + mage + gained + sex_bin + habit_bin + marital_bin + whitemom_bin,fage × habit_bin + fage × whitemom_bin,7,2,9,0.9045151617068902,0.03401095423860406,0.028674340549913312,0.046779194104258244,0.004591876213519419,-0.003933051996233925,1
15461,15282,fage + visits + gained + sex_bin + marital_bin + mature_bin,fage × mature_bin + visits × gained,6,2,8,0.904515316756968,0.0365933353824904,0.007322887585816585,0.033170966977787576,0.004592031263597196,-0.025284504960330655,2
15462,13168,fage + mage + gained + sex_bin + habit_bin + mature_bin,mage × mature_bin,6,1,7,0.9045155869477897,0.03145039204891005,0.016065670652113305,0.044943482159603136,0.004592301454418912,-0.016541721894033933,2
15463,13264,fage + mage + gained + sex_bin + habit_bin + mature_bin,mage × mature_bin + habit_bin × mature_bin,6,2,8,0.9045155869477897,0.03145039204891005,0.016065670652113305,0.044943482159603136,0.004592301454418912,-0.016541721894033933,2
15464,2432,mage + gained + whitemom_bin + mature_bin,mage × mature_bin,4,1,5,0.9045155983453546,0.043367068471153535,0.006157680672800448,0.04462263809997333,0.004592312851983804,-0.02644971187334679,2
15465,30634,fage + mage + visits + gained + sex_bin + marital_bin + whitemom_bin + mature_bin,sex_bin × whitemom_bin + whitemom_bin × mature_bin,8,2,10,0.9045158316549953,0.03840329901517876,0.01959055020166256,0.05030587899726331,0.004592546161624522,-0.013016842344484678,2
15466,41,visits + sex_bin,,2,0,2,0.9045163795196342,0.043566220537992036,0.018952293289626464,0.016256787117761386,0.0045930940262634,-0.013655099256520774,3
15467,22009,fage + mage + visits + gained + sex_bin + whitemom_bin + mature_bin,visits × gained + visits × whitemom_bin,7,2,9,0.9045172979342212,0.025926313805401675,0.007552691396002698,0.04791401494802338,0.004594012440850448,-0.02505470115014454,2
15468,31293,fage + mage + visits + sex_bin + habit_bin + marital_bin + whitemom_bin + mature_bin,mage × habit_bin + sex_bin × marital_bin,8,2,10,0.9045185313065419,0.03925792459026195,0.032912935215005754,0.04225013512863324,0.004595245813171167,0.0003055426688585161,1
15469,1734,fage + sex_bin + habit_bin + mature_bin,fage × sex_bin + sex_bin × habit_bin,4,2,6,0.9045207229151055,0.038073879124240755,0.02426470215529126,0.0391576797276128,0.004597437421734796,-0.008342690390855976,2
15470,22050,fage + mage + visits + gained + sex_bin + whitemom_bin + mature_bin,sex_bin × whitemom_bin + sex_bin × mature_bin,7,2,9,0.9045223661496371,0.038200273898024835,0.017261919145425252,0.05221387182723856,0.004599080656266352,-0.015345473400721985,2
15471,30509,fage + mage + visits + gained + sex_bin + marital_bin + whitemom_bin + mature_bin,mage × whitemom_bin + visits × whitemom_bin,8,2,10,0.9045225539085852,0.02768775591363801,0.013082690316490963,0.05390763398692717,0.004599268415214408,-0.019524702229656275,2
15472,1781,fage + sex_bin + marital_bin + mature_bin,fage × marital_bin + fage × mature_bin,4,2,6,0.904522654736964,0.04457718148048783,0.013544691989146474,0.021448222794577653,0.0045993692435932765,-0.019062700557000763,3
15473,30419,fage + mage + visits + gained + sex_bin + marital_bin + whitemom_bin + mature_bin,fage × mature_bin + visits × whitemom_bin,8,2,10,0.9045227106830808,0.03245307002002494,0.017357248504331645,0.04516952497469366,0.004599425189710016,-0.015250144041815593,2
15474,3020,visits + sex_bin + whitemom_bin + mature_bin,sex_bin × whitemom_bin + sex_bin × mature_bin,4,2,6,0.9045231829682354,0.040229012799412996,0.02420525915070857,0.037230864009059325,0.004599897474864667,-0.008402133395438667,2
15475,7446,mage + visits + gained + sex_bin + marital_bin,mage × sex_bin + visits × gained,5,2,7,0.9045246158739904,0.031150233529863104,0.0071020368051452065,0.03200579297998244,0.004601330380619606,-0.02550535574100203,1
15476,31537,fage + mage + gained + sex_bin + habit_bin + marital_bin + whitemom_bin + mature_bin,fage × sex_bin + fage × habit_bin,8,2,10,0.9045252793478719,0.03750245889899861,0.025237824601120052,0.04763886796808591,0.004601993854501107,-0.0073695679450271855,1
15477,4298,fage + mage + gained + sex_bin + habit_bin,fage × mage + gained × sex_bin,5,2,7,0.9045258808011672,0.030528620691258467,0.017407729887995948,0.04701067110672493,0.004602595307796498,-0.01519966265815129,2
15478,12981,fage + mage + gained + sex_bin + habit_bin + marital_bin,fage × habit_bin + sex_bin × marital_bin,6,2,8,0.9045271185297485,0.035763933482112466,0.014743689912090208,0.039409524324098895,0.004603833036377791,-0.01786370263405703,2
15479,28511,mage + visits + sex_bin + habit_bin + marital_bin + whitemom_bin + mature_bin,sex_bin × habit_bin + marital_bin × mature_bin,7,2,9,0.9045296064414272,0.03633765792709802,0.031213304036453948,0.052113055206428935,0.004606320948056464,-0.0013940885096932892,1
